职位名称,链接,薪资,地区,学历要求,工作经验要求
数据分析专家（BI）,https://www.liepin.com/a/11777568.shtml,40-70万,"北京,杭州",统招本科,3年以上
游戏数据分析,https://www.liepin.com/a/11752743.shtml,40-70万,"深圳,杭州,北京",统招本科,5年以上
62790-数据分析,https://www.liepin.com/a/11749765.shtml,50-80万,"北京,杭州,上海",统招本科,5年以上
数据分析,https://www.liepin.com/a/11977412.shtml,30-60万,"深圳,北京,杭州",本科及以上,2年以上
数据分析师,https://www.liepin.com/a/11874191.shtml,50-80万,"北京,广东省,浙江省",本科及以上,3年以上
数据分析高级经理/总监,https://www.liepin.com/a/11997967.shtml,40-70万,杭州,统招本科,5年以上
数据分析师,https://www.liepin.com/a/11639166.shtml,20-50万,杭州,学历不限,3年以上
数据分析专家,https://www.liepin.com/a/11692999.shtml,30-50万,杭州,学历不限,5年以上
数据分析专家（BI）,https://www.liepin.com/a/12025510.shtml,40-60万,"上海,杭州,北京",统招本科,2年以上
数据分析挖掘、算法、大数据平台开发,https://www.liepin.com/a/12019446.shtml,60-90万,"上海,北京,杭州",统招本科,2年以上
资深数据分析/leader,https://www.liepin.com/a/11985451.shtml,30-50万,"上海,北京,杭州",统招本科,4年以上
运营数据分析经理,https://www.liepin.com/a/11970630.shtml,40-60万,"上海,杭州",本科及以上,5年以上
数据分析,https://www.liepin.com/a/10567828.shtml,30-60万,"北京,上海,杭州",学历不限,2年以上
数据分析,https://www.liepin.com/a/11653376.shtml,30-60万,"北京,上海,杭州",学历不限,1年以上
数据分析专家（云产品）,https://www.liepin.com/a/10926012.shtml,30-60万,"北京,上海,杭州",本科及以上,5年以上
商业数据分析专家,https://www.liepin.com/a/11043262.shtml,60-90万,"北京,杭州",学历不限,3年以上
BI数据分析师 (MJ000059),https://www.liepin.com/job/1915612724.shtml,15-30万,杭州-滨江区,统招本科,2年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915611185.shtml,26-39万,杭州-古荡,本科及以上,2年以上
